user_id,relation_type,identifier,relation_weight
U0005712,device,DEVICE_0000538,1.0
U0005712,email,EMAIL_0001708,0.85
U0005712,mobile,MOBILE_0004403,0.95
U0005712,kyc_id,KYC_ID_0000494,1.0
U0005712,withdraw_address,WITHDRAW_ADDRESS_0000790,1.0
U0005712,ip,IP_0001138,0.25
U0007107,device,DEVICE_0000257,1.0
U0007107,email,EMAIL_0005311,0.85
U0007107,mobile,MOBILE_0006469,0.95
U0007107,kyc_id,KYC_ID_0008805,1.0
U0007107,withdraw_address,WITHDRAW_ADDRESS_0000308,1.0
U0007107,ip,IP_0003353,0.25
U0005266,device,DEVICE_0002804,1.0
U0005266,email,EMAIL_0005765,0.85
U0005266,mobile,MOBILE_0004048,0.95
U0005266,kyc_id,KYC_ID_0003086,1.0
U0005266,withdraw_address,WITHDRAW_ADDRESS_0001944,1.0
U0005266,ip,IP_0002143,0.25
U0002462,device,DEVICE_0003406,1.0
U0002462,email,EMAIL_0008087,0.85
U0002462,mobile,MOBILE_0006723,0.95
U0002462,kyc_id,KYC_ID_0005626,1.0
U0002462,withdraw_address,WITHDRAW_ADDRESS_0004143,1.0
U0002462,ip,IP_0002387,0.25
U0006878,device,DEVICE_0005517,1.0
U0006878,email,EMAIL_0006659,0.85
U0006878,mobile,MOBILE_0004984,0.95
U0006878,kyc_id,KYC_ID_0008709,1.0
U0006878,withdraw_address,WITHDRAW_ADDRESS_0001336,1.0
U0006878,ip,IP_0000469,0.25
U0006889,device,DEVICE_0002747,1.0
U0006889,email,EMAIL_0003478,0.85
U0006889,mobile,MOBILE_0002051,0.95
U0006889,kyc_id,KYC_ID_0000175,1.0
U0006889,withdraw_address,WITHDRAW_ADDRESS_0000034,1.0
U0006889,ip,IP_0002339,0.25
U0005331,device,DEVICE_0003841,1.0
U0005331,email,EMAIL_0002248,0.85
U0005331,mobile,MOBILE_0001758,0.95
U0005331,kyc_id,KYC_ID_0000963,1.0
U0005331,withdraw_address,WITHDRAW_ADDRESS_0001675,1.0
U0005331,ip,IP_0002494,0.25
U0004554,device,DEVICE_0003458,1.0
U0004554,email,EMAIL_0002953,0.85
U0004554,mobile,MOBILE_0000598,0.95
U0004554,kyc_id,KYC_ID_0006939,1.0
U0004554,withdraw_address,WITHDRAW_ADDRESS_0006586,1.0
U0004554,ip,IP_0002478,0.25
U0004554,withdraw_address,WITHDRAW_ADDRESS_0006283,1.0
U0002565,device,DEVICE_0004500,1.0
U0002565,email,EMAIL_0000727,0.85
U0002565,mobile,MOBILE_0001330,0.95
U0002565,kyc_id,KYC_ID_0002047,1.0
U0002565,withdraw_address,WITHDRAW_ADDRESS_0006010,1.0
U0002565,ip,IP_0001357,0.25
U0002565,ip,IP_0000145,0.25
U0002572,device,DEVICE_0001080,1.0
U0002572,email,EMAIL_0003137,0.85
U0002572,mobile,MOBILE_0006050,0.95
U0002572,kyc_id,KYC_ID_0001547,1.0
U0002572,withdraw_address,WITHDRAW_ADDRESS_0005418,1.0
U0002572,ip,IP_0000150,0.25
U0002572,ip,IP_0001388,0.25
U0008488,device,DEVICE_0002534,1.0
U0008488,email,EMAIL_0008020,0.85
U0008488,mobile,MOBILE_0007161,0.95
U0008488,kyc_id,KYC_ID_0008565,1.0
U0008488,withdraw_address,WITHDRAW_ADDRESS_0003421,1.0
U0008488,ip,IP_0000381,0.25
U0002659,device,DEVICE_0001726,1.0
U0002659,email,EMAIL_0002007,0.85
U0002659,mobile,MOBILE_0006320,0.95
U0002659,kyc_id,KYC_ID_0003842,1.0
U0002659,withdraw_address,WITHDRAW_ADDRESS_0007561,1.0
U0002659,ip,IP_0000664,0.25
U0002758,device,DEVICE_0000972,1.0
U0002758,email,EMAIL_0004589,0.85
U0002758,mobile,MOBILE_0002350,0.95
U0002758,kyc_id,KYC_ID_0004431,1.0
U0002758,withdraw_address,WITHDRAW_ADDRESS_0004139,1.0
U0002758,ip,IP_0000212,0.25
U0002758,withdraw_address,WITHDRAW_ADDRESS_0003935,1.0
U0005497,device,DEVICE_0004424,1.0
U0005497,email,EMAIL_0002764,0.85
U0005497,mobile,MOBILE_0008285,0.95
U0005497,kyc_id,KYC_ID_0005015,1.0
U0005497,withdraw_address,WITHDRAW_ADDRESS_0002857,1.0
U0005497,ip,IP_0000603,0.25
U0008537,device,DEVICE_0005996,1.0
U0008537,email,EMAIL_0006965,0.85
U0008537,mobile,MOBILE_0005074,0.95
U0008537,kyc_id,KYC_ID_0000302,1.0
U0008537,withdraw_address,WITHDRAW_ADDRESS_0001944,1.0
U0008537,ip,IP_0001005,0.25
U0008537,ip,IP_0000813,0.25
U0008713,device,DEVICE_0000411,1.0
U0008713,email,EMAIL_0002547,0.85
U0008713,mobile,MOBILE_0003986,0.95
U0008713,kyc_id,KYC_ID_0006438,1.0
U0008713,withdraw_address,WITHDRAW_ADDRESS_0005218,1.0
U0008713,ip,IP_0002565,0.25
U0007743,device,DEVICE_0004570,1.0
U0007743,email,EMAIL_0001662,0.85
U0007743,mobile,MOBILE_0001494,0.95
U0007743,kyc_id,KYC_ID_0005949,1.0
U0007743,withdraw_address,WITHDRAW_ADDRESS_0001381,1.0
U0007743,ip,IP_0001487,0.25
U0007743,ip,IP_0002503,0.25
U0001692,device,DEVICE_0001325,1.0
U0001692,email,EMAIL_0008943,0.85
U0001692,mobile,MOBILE_0003783,0.95
U0001692,kyc_id,KYC_ID_0000459,1.0
U0001692,withdraw_address,WITHDRAW_ADDRESS_0004826,1.0
U0001692,ip,IP_0000130,0.25
U0001692,ip,IP_0002341,0.25
U0009088,device,DEVICE_0001121,1.0
U0009088,email,EMAIL_0003939,0.85
U0009088,mobile,MOBILE_0004339,0.95
U0009088,kyc_id,KYC_ID_0002005,1.0
U0009088,withdraw_address,WITHDRAW_ADDRESS_0000000,1.0
U0009088,ip,IP_0000376,0.25
U0006413,device,DEVICE_0002311,1.0
U0006413,email,EMAIL_0005443,0.85
U0006413,mobile,MOBILE_0000231,0.95
U0006413,kyc_id,KYC_ID_0005183,1.0
U0006413,withdraw_address,WITHDRAW_ADDRESS_0006485,1.0
U0006413,ip,IP_0000463,0.25
U0000003,device,DEVICE_0004910,1.0
U0000003,email,EMAIL_0008045,0.85
U0000003,mobile,MOBILE_0001648,0.95
U0000003,kyc_id,KYC_ID_0007384,1.0
U0000003,withdraw_address,WITHDRAW_ADDRESS_0005966,1.0
U0000003,ip,IP_0001475,0.25
U0006437,device,DEVICE_0000880,1.0
U0006437,email,EMAIL_0002084,0.85
U0006437,mobile,MOBILE_0005069,0.95
U0006437,kyc_id,KYC_ID_0008737,1.0
U0006437,withdraw_address,WITHDRAW_ADDRESS_0002322,1.0
U0006437,ip,IP_0002466,0.25
U0006437,ip,IP_0003209,0.25
U0006369,device,DEVICE_0000237,1.0
U0006369,email,EMAIL_0004798,0.85
U0006369,mobile,MOBILE_0004598,0.95
U0006369,kyc_id,KYC_ID_0006603,1.0
U0006369,withdraw_address,WITHDRAW_ADDRESS_0007753,1.0
U0006369,ip,IP_0002698,0.25
U0000611,device,DEVICE_0004886,1.0
U0000611,email,EMAIL_0007969,0.85
U0000611,mobile,MOBILE_0002106,0.95
U0000611,kyc_id,KYC_ID_0005536,1.0
U0000611,withdraw_address,WITHDRAW_ADDRESS_0001485,1.0
U0000611,ip,IP_0003306,0.25
U0000619,device,DEVICE_0001159,1.0
U0000619,email,EMAIL_0004296,0.85
U0000619,mobile,MOBILE_0007446,0.95
U0000619,kyc_id,KYC_ID_0000436,1.0
U0000619,withdraw_address,WITHDRAW_ADDRESS_0006207,1.0
U0000619,ip,IP_0000052,0.25
U0007374,device,DEVICE_0004169,1.0
U0007374,email,EMAIL_0006236,0.85
U0007374,mobile,MOBILE_0002167,0.95
U0007374,kyc_id,KYC_ID_0007304,1.0
U0007374,withdraw_address,WITHDRAW_ADDRESS_0006465,1.0
U0007374,ip,IP_0003052,0.25
U0000746,device,DEVICE_0003627,1.0
U0000746,email,EMAIL_0006096,0.85
U0000746,mobile,MOBILE_0005833,0.95
U0000746,kyc_id,KYC_ID_0001314,1.0
U0000746,withdraw_address,WITHDRAW_ADDRESS_0000968,1.0
U0000746,ip,IP_0002663,0.25
U0004475,device,DEVICE_0000405,1.0
U0004475,email,EMAIL_0007897,0.85
U0004475,mobile,MOBILE_0005325,0.95
U0004475,kyc_id,KYC_ID_0005717,1.0
U0004475,withdraw_address,WITHDRAW_ADDRESS_0004366,1.0
U0004475,ip,IP_0000730,0.25
U0007527,device,DEVICE_0005266,1.0
U0007527,email,EMAIL_0003453,0.85
U0007527,mobile,MOBILE_0008577,0.95
U0007527,kyc_id,KYC_ID_0008260,1.0
U0007527,withdraw_address,WITHDRAW_ADDRESS_0003884,1.0
U0007527,ip,IP_0003029,0.25
U0006040,device,DEVICE_0002825,1.0
U0006040,email,EMAIL_0006814,0.85
U0006040,mobile,MOBILE_0003683,0.95
U0006040,kyc_id,KYC_ID_0001715,1.0
U0006040,withdraw_address,WITHDRAW_ADDRESS_0004453,1.0
U0006040,ip,IP_0000599,0.25
U0000863,device,DEVICE_0005967,1.0
U0000863,email,EMAIL_0001098,0.85
U0000863,mobile,MOBILE_0002289,0.95
U0000863,kyc_id,KYC_ID_0000554,1.0
U0000863,withdraw_address,WITHDRAW_ADDRESS_0002582,1.0
U0000863,ip,IP_0002090,0.25
U0001107,device,DEVICE_0001589,1.0
U0001107,email,EMAIL_0003920,0.85
U0001107,mobile,MOBILE_0005704,0.95
U0001107,kyc_id,KYC_ID_0002497,1.0
U0001107,withdraw_address,WITHDRAW_ADDRESS_0000751,1.0
U0001107,ip,IP_0002610,0.25
U0007535,device,DEVICE_0001590,1.0
U0007535,email,EMAIL_0003785,0.85
U0007535,mobile,MOBILE_0000082,0.95
U0007535,kyc_id,KYC_ID_0009524,1.0
U0007535,withdraw_address,WITHDRAW_ADDRESS_0007786,1.0
U0007535,ip,IP_0000482,0.25
U0002734,device,DEVICE_0003779,1.0
U0002734,email,EMAIL_0004690,0.85
U0002734,mobile,MOBILE_0002957,0.95
U0002734,kyc_id,KYC_ID_0009452,1.0
U0002734,withdraw_address,WITHDRAW_ADDRESS_0000009,1.0
U0002734,ip,IP_0001020,0.25
U0007586,device,DEVICE_0004500,1.0
U0007586,email,EMAIL_0000420,0.85
U0007586,mobile,MOBILE_0007533,0.95
U0007586,kyc_id,KYC_ID_0008312,1.0
U0007586,withdraw_address,WITHDRAW_ADDRESS_0001591,1.0
U0007586,ip,IP_0002004,0.25
U0004074,device,DEVICE_0000152,1.0
U0004074,email,EMAIL_0001204,0.85
U0004074,mobile,MOBILE_0004693,0.95
U0004074,kyc_id,KYC_ID_0002609,1.0
U0004074,withdraw_address,WITHDRAW_ADDRESS_0002592,1.0
U0004074,ip,IP_0002313,0.25
U0004074,ip,IP_0000733,0.25
U0009191,device,DEVICE_0001770,1.0
U0009191,email,EMAIL_0005513,0.85
U0009191,mobile,MOBILE_0001976,0.95
U0009191,kyc_id,KYC_ID_0002422,1.0
U0009191,withdraw_address,WITHDRAW_ADDRESS_0006916,1.0
U0009191,ip,IP_0000946,0.25
U0009191,device,DEVICE_0005549,1.0
U0004158,device,DEVICE_0004417,1.0
U0004158,email,EMAIL_0001407,0.85
U0004158,mobile,MOBILE_0002446,0.95
U0004158,kyc_id,KYC_ID_0001229,1.0
U0004158,withdraw_address,WITHDRAW_ADDRESS_0002107,1.0
U0004158,ip,IP_0001627,0.25
U0001466,device,DEVICE_0004764,1.0
U0001466,email,EMAIL_0004994,0.85
U0001466,mobile,MOBILE_0003810,0.95
U0001466,kyc_id,KYC_ID_0007297,1.0
U0001466,withdraw_address,WITHDRAW_ADDRESS_0002646,1.0
U0001466,ip,IP_0001220,0.25
U0001466,withdraw_address,WITHDRAW_ADDRESS_0001506,1.0
U0009140,device,DEVICE_0001036,1.0
U0009140,email,EMAIL_0002080,0.85
U0009140,mobile,MOBILE_0003218,0.95
U0009140,kyc_id,KYC_ID_0000269,1.0
U0009140,withdraw_address,WITHDRAW_ADDRESS_0002179,1.0
U0009140,ip,IP_0001579,0.25
U0007404,device,DEVICE_0000447,1.0
U0007404,email,EMAIL_0000740,0.85
U0007404,mobile,MOBILE_0002237,0.95
U0007404,kyc_id,KYC_ID_0001936,1.0
U0007404,withdraw_address,WITHDRAW_ADDRESS_0002957,1.0
U0007404,ip,IP_0000482,0.25
U0007404,withdraw_address,WITHDRAW_ADDRESS_0004368,1.0
U0007856,device,DEVICE_0003003,1.0
U0007856,email,EMAIL_0004081,0.85
U0007856,mobile,MOBILE_0007683,0.95
U0007856,kyc_id,KYC_ID_0002587,1.0
U0007856,withdraw_address,WITHDRAW_ADDRESS_0007372,1.0
U0007856,ip,IP_0000066,0.25
U0007733,device,DEVICE_0005999,1.0
U0007733,email,EMAIL_0004637,0.85
U0007733,mobile,MOBILE_0006089,0.95
U0007733,kyc_id,KYC_ID_0003391,1.0
U0007733,withdraw_address,WITHDRAW_ADDRESS_0000103,1.0
U0007733,ip,IP_0000977,0.25
U0007733,ip,IP_0000824,0.25
U0004676,device,DEVICE_0000040,1.0
U0004676,email,EMAIL_0006801,0.85
U0004676,mobile,MOBILE_0004792,0.95
U0004676,kyc_id,KYC_ID_0005891,1.0
U0004676,withdraw_address,WITHDRAW_ADDRESS_0006935,1.0
U0004676,ip,IP_0001652,0.25
U0004676,ip,IP_0002832,0.25
U0002919,device,DEVICE_0000410,1.0
U0002919,email,EMAIL_0002458,0.85
U0002919,mobile,MOBILE_0007545,0.95
U0002919,kyc_id,KYC_ID_0004805,1.0
U0002919,withdraw_address,WITHDRAW_ADDRESS_0001440,1.0
U0002919,ip,IP_0002849,0.25
U0007496,device,DEVICE_0005852,1.0
U0007496,email,EMAIL_0008221,0.85
U0007496,mobile,MOBILE_0002034,0.95
U0007496,kyc_id,KYC_ID_0007427,1.0
U0007496,withdraw_address,WITHDRAW_ADDRESS_0000165,1.0
U0007496,ip,IP_0000684,0.25
U0007496,withdraw_address,WITHDRAW_ADDRESS_0000048,1.0
U0004511,device,DEVICE_0006115,1.0
U0004511,email,EMAIL_0005852,0.85
U0004511,mobile,MOBILE_0009130,0.95
U0004511,kyc_id,KYC_ID_0009028,1.0
U0004511,withdraw_address,WITHDRAW_ADDRESS_0002469,1.0
U0004511,ip,IP_0002913,0.25
U0000260,device,DEVICE_0003299,1.0
U0000260,email,EMAIL_0000134,0.85
U0000260,mobile,MOBILE_0009065,0.95
U0000260,kyc_id,KYC_ID_0005598,1.0
U0000260,withdraw_address,WITHDRAW_ADDRESS_0003281,1.0
U0000260,ip,IP_0002190,0.25
U0003083,device,DEVICE_0005503,1.0
U0003083,email,EMAIL_0004566,0.85
U0003083,mobile,MOBILE_0009056,0.95
U0003083,kyc_id,KYC_ID_0002650,1.0
U0003083,withdraw_address,WITHDRAW_ADDRESS_0004885,1.0
U0003083,ip,IP_0002663,0.25
U0004828,device,DEVICE_0002930,1.0
U0004828,email,EMAIL_0006370,0.85
U0004828,mobile,MOBILE_0007116,0.95
U0004828,kyc_id,KYC_ID_0001217,1.0
U0004828,withdraw_address,WITHDRAW_ADDRESS_0004463,1.0
U0004828,ip,IP_0002119,0.25
U0004828,ip,IP_0003342,0.25
U0003548,device,DEVICE_0000374,1.0
U0003548,email,EMAIL_0008541,0.85
U0003548,mobile,MOBILE_0007273,0.95
U0003548,kyc_id,KYC_ID_0002052,1.0
U0003548,withdraw_address,WITHDRAW_ADDRESS_0001587,1.0
U0003548,ip,IP_0000715,0.25
U0003548,ip,IP_0001746,0.25
U0007518,device,DEVICE_0000025,1.0
U0007518,email,EMAIL_0002850,0.85
U0007518,mobile,MOBILE_0002909,0.95
U0007518,kyc_id,KYC_ID_0005609,1.0
U0007518,withdraw_address,WITHDRAW_ADDRESS_0003520,1.0
U0007518,ip,IP_0001588,0.25
U0007518,device,DEVICE_0001933,1.0
U0004186,device,DEVICE_0006258,1.0
U0004186,email,EMAIL_0004824,0.85
U0004186,mobile,MOBILE_0003537,0.95
U0004186,kyc_id,KYC_ID_0002716,1.0
U0004186,withdraw_address,WITHDRAW_ADDRESS_0005261,1.0
U0004186,ip,IP_0003023,0.25
U0004186,ip,IP_0001648,0.25
U0008105,device,DEVICE_0003216,1.0
U0008105,email,EMAIL_0008714,0.85
U0008105,mobile,MOBILE_0006836,0.95
U0008105,kyc_id,KYC_ID_0005074,1.0
U0008105,withdraw_address,WITHDRAW_ADDRESS_0004073,1.0
U0008105,ip,IP_0003223,0.25
U0008105,ip,IP_0002504,0.25
U0008105,withdraw_address,WITHDRAW_ADDRESS_0001539,1.0
U0007672,device,DEVICE_0004318,1.0
U0007672,email,EMAIL_0006706,0.85
U0007672,mobile,MOBILE_0002006,0.95
U0007672,kyc_id,KYC_ID_0009371,1.0
U0007672,withdraw_address,WITHDRAW_ADDRESS_0007638,1.0
U0007672,ip,IP_0000322,0.25
U0007672,ip,IP_0001047,0.25
U0007900,device,DEVICE_0003878,1.0
U0007900,email,EMAIL_0007349,0.85
U0007900,mobile,MOBILE_0004039,0.95
U0007900,kyc_id,KYC_ID_0009488,1.0
U0007900,withdraw_address,WITHDRAW_ADDRESS_0006299,1.0
U0007900,ip,IP_0002026,0.25
U0004382,device,DEVICE_0002448,1.0
U0004382,email,EMAIL_0006426,0.85
U0004382,mobile,MOBILE_0007925,0.95
U0004382,kyc_id,KYC_ID_0001542,1.0
U0004382,withdraw_address,WITHDRAW_ADDRESS_0006176,1.0
U0004382,ip,IP_0000355,0.25
U0004382,ip,IP_0000368,0.25
U0007118,device,DEVICE_0003698,1.0
U0007118,email,EMAIL_0003291,0.85
U0007118,mobile,MOBILE_0003473,0.95
U0007118,kyc_id,KYC_ID_0004868,1.0
U0007118,withdraw_address,WITHDRAW_ADDRESS_0002684,1.0
U0007118,ip,IP_0003214,0.25
U0004197,device,DEVICE_0001144,1.0
U0004197,email,EMAIL_0004949,0.85
U0004197,mobile,MOBILE_0006893,0.95
U0004197,kyc_id,KYC_ID_0000211,1.0
U0004197,withdraw_address,WITHDRAW_ADDRESS_0002149,1.0
U0004197,ip,IP_0000409,0.25
U0004361,device,DEVICE_0003471,1.0
U0004361,email,EMAIL_0006305,0.85
U0004361,mobile,MOBILE_0004837,0.95
U0004361,kyc_id,KYC_ID_0000535,1.0
U0004361,withdraw_address,WITHDRAW_ADDRESS_0002079,1.0
U0004361,ip,IP_0000235,0.25
U0003185,device,DEVICE_0000296,1.0
U0003185,email,EMAIL_0002457,0.85
U0003185,mobile,MOBILE_0006744,0.95
U0003185,kyc_id,KYC_ID_0004508,1.0
U0003185,withdraw_address,WITHDRAW_ADDRESS_0004176,1.0
U0003185,ip,IP_0002353,0.25
U0003848,device,DEVICE_0001414,1.0
U0003848,email,EMAIL_0003935,0.85
U0003848,mobile,MOBILE_0001186,0.95
U0003848,kyc_id,KYC_ID_0006277,1.0
U0003848,withdraw_address,WITHDRAW_ADDRESS_0001089,1.0
U0003848,ip,IP_0002047,0.25
U0003848,ip,IP_0000589,0.25
U0000225,device,DEVICE_0003957,1.0
U0000225,email,EMAIL_0001833,0.85
U0000225,mobile,MOBILE_0007601,0.95
U0000225,kyc_id,KYC_ID_0000748,1.0
U0000225,withdraw_address,WITHDRAW_ADDRESS_0006405,1.0
U0000225,ip,IP_0002220,0.25
U0005503,device,DEVICE_0001887,1.0
U0005503,email,EMAIL_0003092,0.85
U0005503,mobile,MOBILE_0004704,0.95
U0005503,kyc_id,KYC_ID_0006054,1.0
U0005503,withdraw_address,WITHDRAW_ADDRESS_0002283,1.0
U0005503,ip,IP_0000405,0.25
U0001658,device,DEVICE_0002559,1.0
U0001658,email,EMAIL_0001288,0.85
U0001658,mobile,MOBILE_0007476,0.95
U0001658,kyc_id,KYC_ID_0005902,1.0
U0001658,withdraw_address,WITHDRAW_ADDRESS_0006123,1.0
U0001658,ip,IP_0001790,0.25
U0006008,device,DEVICE_0002706,1.0
U0006008,email,EMAIL_0005123,0.85
U0006008,mobile,MOBILE_0008021,0.95
U0006008,kyc_id,KYC_ID_0009541,1.0
U0006008,withdraw_address,WITHDRAW_ADDRESS_0006610,1.0
U0006008,ip,IP_0003347,0.25
U0006008,ip,IP_0002709,0.25
U0001666,device,DEVICE_0004331,1.0
U0001666,email,EMAIL_0005218,0.85
U0001666,mobile,MOBILE_0008292,0.95
U0001666,kyc_id,KYC_ID_0003332,1.0
U0001666,withdraw_address,WITHDRAW_ADDRESS_0006253,1.0
U0001666,ip,IP_0002196,0.25
U0001666,ip,IP_0002143,0.25
U0001374,device,DEVICE_0004510,1.0
U0001374,email,EMAIL_0000504,0.85
U0001374,mobile,MOBILE_0007549,0.95
U0001374,kyc_id,KYC_ID_0009429,1.0
U0001374,withdraw_address,WITHDRAW_ADDRESS_0002507,1.0
U0001374,ip,IP_0002564,0.25
U0008934,device,DEVICE_0001922,1.0
U0008934,email,EMAIL_0006644,0.85
U0008934,mobile,MOBILE_0009182,0.95
U0008934,kyc_id,KYC_ID_0003115,1.0
U0008934,withdraw_address,WITHDRAW_ADDRESS_0000718,1.0
U0008934,ip,IP_0000275,0.25
U0008902,device,DEVICE_0002546,1.0
U0008902,email,EMAIL_0001040,0.85
U0008902,mobile,MOBILE_0006623,0.95
U0008902,kyc_id,KYC_ID_0009264,1.0
U0008902,withdraw_address,WITHDRAW_ADDRESS_0001591,1.0
U0008902,ip,IP_0000898,0.25
U0008902,ip,IP_0001046,0.25
U0002066,device,DEVICE_0005524,1.0
U0002066,email,EMAIL_0006921,0.85
U0002066,mobile,MOBILE_0008296,0.95
U0002066,kyc_id,KYC_ID_0001430,1.0
U0002066,withdraw_address,WITHDRAW_ADDRESS_0001483,1.0
U0002066,ip,IP_0003042,0.25
U0002116,device,DEVICE_0006016,1.0
U0002116,email,EMAIL_0002796,0.85
U0002116,mobile,MOBILE_0006993,0.95
U0002116,kyc_id,KYC_ID_0000542,1.0
U0002116,withdraw_address,WITHDRAW_ADDRESS_0005574,1.0
U0002116,ip,IP_0002790,0.25
U0002257,device,DEVICE_0004569,1.0
U0002257,email,EMAIL_0000268,0.85
U0002257,mobile,MOBILE_0008835,0.95
U0002257,kyc_id,KYC_ID_0007255,1.0
U0002257,withdraw_address,WITHDRAW_ADDRESS_0003109,1.0
U0002257,ip,IP_0002190,0.25
U0002257,ip,IP_0002047,0.25
U0006152,device,DEVICE_0001488,1.0
U0006152,email,EMAIL_0001436,0.85
U0006152,mobile,MOBILE_0000066,0.95
U0006152,kyc_id,KYC_ID_0000843,1.0
U0006152,withdraw_address,WITHDRAW_ADDRESS_0001646,1.0
U0006152,ip,IP_0003099,0.25
U0002272,device,DEVICE_0003105,1.0
U0002272,email,EMAIL_0008225,0.85
U0002272,mobile,MOBILE_0007636,0.95
U0002272,kyc_id,KYC_ID_0008114,1.0
U0002272,withdraw_address,WITHDRAW_ADDRESS_0005122,1.0
